sequence,mode,error,from,to,skipped,takeoffSpeed,landingSpeed,flightDistance,width,depth,headingChange,landingX,landingZ
summit,slow,late,m02.final-runup,m02.patch.base,,6.124,7.380,4.473,16,12,0.00,0.351,-3.574
summit,slow,heading,m02.lift.exit,m02.ascent.01,,6.124,7.380,4.473,12,3,0.00,-0.026,-0.119
summit,slow,heading,m02.ascent.01,m02.ascent.02,,6.124,7.380,4.473,12,4,0.00,0.071,0.357
summit,slow,heading,m02.ascent.02,m02.ascent.03,,6.124,7.380,4.473,12,4,0.00,-0.013,-0.083
summit,slow,heading,m02.ascent.03,m02.ascent.04,,6.124,7.380,4.473,12,4,0.00,0.000,-0.043
summit,slow,heading,m02.ascent.04,m02.final-runup,,6.124,7.380,4.473,12,5,0.00,0.024,-0.135
summit,slow,heading,m02.final-runup,m02.patch.base,,6.124,7.380,4.473,16,12,0.00,0.351,-3.565
summit,flow,clean,m02.lift.exit,m02.ascent.02,m02.ascent.01,13.500,13.500,7.985,12,4,5.38,-0.605,-1.104
summit,flow,clean,m02.ascent.02,m02.ascent.03,,13.500,13.500,8.207,12,4,-6.81,-0.281,1.109
summit,flow,clean,m02.ascent.03,m02.final-runup,m02.ascent.04,13.500,13.500,8.089,12,5,-9.98,0.617,-2.690
summit,flow,clean,m02.final-runup,m02.patch.base,,13.500,13.500,8.100,16,12,-1.50,0.683,-4.531
summit,flow,left,m02.lift.exit,m02.ascent.02,m02.ascent.01,13.500,13.500,7.985,12,4,5.38,-1.355,-1.104
summit,flow,left,m02.ascent.02,m02.ascent.03,,13.500,13.500,8.210,12,4,-3.50,-0.678,1.048
summit,flow,left,m02.ascent.03,m02.final-runup,m02.ascent.04,13.500,13.500,8.085,12,5,-11.84,0.575,-2.760
summit,flow,left,m02.final-runup,m02.patch.base,,13.500,13.500,8.099,16,12,-2.91,0.734,-4.591
summit,flow,right,m02.lift.exit,m02.ascent.02,m02.ascent.01,13.500,13.500,7.985,12,4,5.38,0.145,-1.104
summit,flow,right,m02.ascent.02,m02.ascent.03,,13.500,13.500,8.202,12,4,-10.13,0.109,1.154
summit,flow,right,m02.ascent.03,m02.final-runup,m02.ascent.04,13.500,13.500,8.093,12,5,-8.08,0.656,-2.653
summit,flow,right,m02.final-runup,m02.patch.base,,13.500,13.500,8.212,16,12,-0.08,0.621,-4.393
summit,flow,early,m02.lift.exit,m02.ascent.02,m02.ascent.01,13.500,13.500,7.985,12,4,5.19,-0.631,-1.449
summit,flow,early,m02.ascent.02,m02.ascent.03,,13.500,13.500,8.208,12,4,-6.30,-0.298,0.764
summit,flow,early,m02.ascent.03,m02.patch.base,m02.ascent.04;m02.final-runup,13.500,13.500,7.987,16,12,-1.61,0.706,-4.765
summit,flow,late,m02.lift.exit,m02.ascent.02,m02.ascent.01,13.500,13.500,7.984,12,4,5.45,-0.594,-0.956
summit,flow,late,m02.ascent.02,m02.ascent.03,,13.500,13.500,8.207,12,4,-7.03,-0.274,1.258
summit,flow,late,m02.ascent.03,m02.final-runup,m02.ascent.04,13.500,13.500,7.977,12,5,-9.85,0.615,-2.654
summit,flow,late,m02.final-runup,m02.patch.base,,13.500,13.500,8.212,16,12,-1.44,0.667,-4.383
summit,flow,heading,m02.lift.exit,m02.ascent.02,m02.ascent.01,13.500,13.500,7.986,12,4,3.10,-0.040,-1.222
summit,flow,heading,m02.ascent.02,m02.ascent.03,,13.500,13.500,8.197,12,4,-12.21,0.146,1.002
summit,flow,heading,m02.ascent.03,m02.patch.base,m02.ascent.04;m02.final-runup,13.500,13.500,7.987,16,12,-0.27,0.677,-4.773
summit,expert,clean,m02.lift.exit,m02.ascent.02,m02.ascent.01,17.500,17.500,10.351,12,4,4.50,-0.277,1.274
summit,expert,clean,m02.ascent.02,m02.ascent.04,m02.ascent.03,17.500,17.500,10.341,12,4,-9.54,0.020,-0.320
summit,expert,clean,m02.ascent.04,m02.patch.base,m02.final-runup,17.500,17.500,10.344,16,12,-8.78,1.298,-5.856
summit,expert,left,m02.lift.exit,m02.ascent.02,m02.ascent.01,17.500,17.500,10.351,12,4,4.50,-1.027,1.274
summit,expert,left,m02.ascent.02,m02.ascent.04,m02.ascent.03,17.500,17.500,10.346,12,4,-6.58,-0.347,-0.369
summit,expert,left,m02.ascent.04,m02.patch.base,m02.final-runup,17.500,17.500,10.339,16,12,-10.49,1.338,-5.889
summit,expert,right,m02.lift.exit,m02.ascent.02,m02.ascent.01,17.500,17.500,10.351,12,4,4.50,0.473,1.274
summit,expert,right,m02.ascent.02,m02.ascent.04,m02.ascent.03,17.500,17.500,10.333,12,4,-12.48,0.385,-0.288
summit,expert,right,m02.ascent.04,m02.patch.base,m02.final-runup,17.500,17.500,10.347,16,12,-7.07,1.260,-5.856
summit,expert,early,m02.lift.exit,m02.ascent.02,m02.ascent.01,17.500,17.500,10.351,12,4,4.40,-0.303,0.929
summit,expert,early,m02.ascent.02,m02.ascent.04,m02.ascent.03,17.500,17.500,10.342,12,4,-9.15,0.019,-0.668
summit,expert,early,m02.ascent.04,m02.patch.base,m02.final-runup,17.500,17.500,10.343,16,12,-9.00,1.335,-6.202
summit,expert,late,m02.lift.exit,m02.ascent.02,m02.ascent.01,17.500,17.500,10.351,12,4,4.53,-0.267,1.422
summit,expert,late,m02.ascent.02,m02.ascent.04,m02.ascent.03,17.500,17.500,10.340,12,4,-9.70,0.020,-0.171
summit,expert,late,m02.ascent.04,m02.patch.base,m02.final-runup,17.500,17.500,10.344,16,12,-8.67,1.281,-5.708
summit,expert,heading,m02.lift.exit,m02.ascent.02,m02.ascent.01,17.500,17.500,10.353,12,4,1.99,0.444,1.131
summit,expert,heading,m02.ascent.02,m02.ascent.04,m02.ascent.03,17.500,17.500,10.324,12,4,-14.90,0.564,-0.461
summit,expert,heading,m02.ascent.04,m02.patch.base,m02.final-runup,17.500,17.500,10.346,16,12,-7.79,1.364,-6.039
